id,parent_id,type,subtype,code,name,is_group,is_selectable,est_count,concept_id,domain_id
316289,0,PHECODE,,008,Intestinal infection,1,1,0,,
316290,0,PHECODE,,010,Tuberculosis,0,1,0,,
316291,0,PHECODE,,031,Diseases due to other mycobacteria,1,1,0,,
316292,0,PHECODE,,038,Septicemia,1,1,0,,
316293,0,PHECODE,,041,Bacterial infection NOS,1,1,0,,
316294,0,PHECODE,,053,Herpes zoster,1,1,0,,
316295,0,PHECODE,,054,Herpes simplex,0,1,0,,
316296,0,PHECODE,,070,Viral hepatitis,1,1,0,,
316297,0,PHECODE,,070.4,Chronic hepatitis,0,1,0,,
316298,0,PHECODE,,070.9,Hepatitis NOS,0,1,0,,
316299,0,PHECODE,,071,Human immunodeficiency virus [HIV] disease,1,1,0,,
316300,0,PHECODE,,078,Viral warts & HPV,0,1,0,,
316301,0,PHECODE,,079,Viral infection,1,1,0,,
316302,0,PHECODE,,080,Postoperative infection,0,1,0,,
316303,0,PHECODE,,081,Infection/inflammation of internal prosthetic device; implant; and graft,1,1,0,,
316304,0,PHECODE,,090,Sexually transmitted infections (not HIV or hepatitis),1,1,0,,
316305,0,PHECODE,,110,Dermatophytosis / Dermatomycosis,1,1,0,,
316306,0,PHECODE,,112,Candidiasis,1,1,0,,
316307,0,PHECODE,,117,Mycoses,1,1,0,,
316308,0,PHECODE,,130,Spirochetal infection,1,1,0,,
316309,0,PHECODE,,131,Protozoan infection,0,1,0,,
316310,0,PHECODE,,132,"Infestation (lice, mites)",1,1,0,,
316311,0,PHECODE,,133,Arthropod-borne diseases,0,1,0,,
316312,0,PHECODE,,134,Helminthiases,1,1,0,,
316313,0,PHECODE,,136,Other infectious and parasitic diseases,0,1,0,,
316314,0,PHECODE,,145,Cancer of mouth,1,1,0,,
316315,0,PHECODE,,149,"Cancer of larynx, pharynx, nasal cavities",1,1,0,,
316316,0,PHECODE,,150,Cancer of esophagus,0,1,0,,
316317,0,PHECODE,,151,Cancer of stomach,0,1,0,,
316318,0,PHECODE,,153,Colorectal cancer,1,1,0,,
316319,0,PHECODE,,155,Cancer of liver and intrahepatic bile duct,1,1,0,,
316320,0,PHECODE,,157,Pancreatic cancer,0,1,0,,
316321,0,PHECODE,,158,Neoplasm of unspecified nature of digestive system,0,1,0,,
316322,0,PHECODE,,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,1,1,0,,
316323,0,PHECODE,,164,Cancer of intrathoracic organs,0,1,0,,
316324,0,PHECODE,,165,Cancer within the respiratory system,1,1,0,,
316325,0,PHECODE,,170,Cancer of bone and connective tissue,1,1,0,,
316326,0,PHECODE,,172,Skin cancer,1,1,0,,
316327,0,PHECODE,,173,Neoplasm of uncertain behavior of skin,0,1,0,,
316328,0,PHECODE,,174,Breast cancer,1,1,0,,
316329,0,PHECODE,,175,Acquired absence of breast,0,1,0,,
316330,0,PHECODE,,180,Cervical cancer and dysplasia,1,1,0,,
316331,0,PHECODE,,182,Malignant neoplasm of uterus,0,1,0,,
316332,0,PHECODE,,184,Cancer of other female genital organs,1,1,0,,
316333,0,PHECODE,,185,Cancer of prostate,0,1,0,,
316334,0,PHECODE,,187,Cancer of other male genital organs,1,1,0,,
316335,0,PHECODE,,189,Cancer of urinary organs (incl. kidney and bladder),1,1,0,,
316336,0,PHECODE,,190,Cancer of eye,0,1,0,,
316337,0,PHECODE,,191,Manlignant and unknown neoplasms of brain and nervous system,1,1,0,,
316338,0,PHECODE,,193,Thyroid cancer,0,1,0,,
316339,0,PHECODE,,194,Cancer of other endocrine glands,0,1,0,,
316340,0,PHECODE,,195,"Cancer, suspected or other",1,1,0,,
316341,0,PHECODE,,195.3,"Malignant neoplasm of head, face, and neck",0,1,0,,
316342,0,PHECODE,,196,Radiotherapy,0,1,0,,
316343,0,PHECODE,,197,Chemotherapy,0,1,0,,
316344,0,PHECODE,,198,Secondary malignant neoplasm,1,1,0,,
316345,0,PHECODE,,199,Neoplasm of uncertain behavior,1,1,0,,
316346,0,PHECODE,,200,Myeloproliferative disease,1,1,0,,
316347,0,PHECODE,,201,Hodgkin's disease,0,1,0,,
316348,0,PHECODE,,202,"Cancer of other lymphoid, histiocytic tissue",1,1,0,,
316349,0,PHECODE,,204,Leukemia,1,1,0,,
316350,0,PHECODE,,208,Benign neoplasm of colon,0,1,0,,
316351,0,PHECODE,,209,Neuroendocrine tumors,0,1,0,,
316352,0,PHECODE,,210,"Benign neoplasm of lip, oral cavity, and pharynx",0,1,0,,
316353,0,PHECODE,,211,Benign neoplasm of other parts of digestive system,0,1,0,,
316354,0,PHECODE,,212,Benign neoplasm of respiratory and intrathoracic organs,0,1,0,,
316355,0,PHECODE,,213,Benign neoplasm of bone and articular cartilage,0,1,0,,
316356,0,PHECODE,,214,Lipoma,1,1,0,,
316357,0,PHECODE,,215,Other benign neoplasm of connective and other soft tissue,0,1,0,,
316358,0,PHECODE,,216,Benign neoplasm of skin,0,1,0,,
316359,0,PHECODE,,216.1,Screening for malignant neoplasms of the skin,0,1,0,,
316360,0,PHECODE,,217,Vascular hamartomas and non-neoplastic nevi,1,1,0,,
316361,0,PHECODE,,218,Benign neoplasm of uterus,1,1,0,,
316362,0,PHECODE,,220,Benign neoplasm of ovary,0,1,0,,
316363,0,PHECODE,,221,Benign neoplasm of other female genital organs,0,1,0,,
316364,0,PHECODE,,222,Benign neoplasm of male genital organs,0,1,0,,
316365,0,PHECODE,,223,Benign neoplasm of kidney and other urinary organs,0,1,0,,
316366,0,PHECODE,,224,Benign neoplasm of eye,1,1,0,,
316367,0,PHECODE,,225,Benign neoplasm of brain and other parts of nervous system,1,1,0,,
316368,0,PHECODE,,226,Benign neoplasm of thyroid glands,0,1,0,,
316369,0,PHECODE,,227,Benign neoplasm of other endocrine glands and related structures,1,1,0,,
316370,0,PHECODE,,228,"Hemangioma and lymphangioma, any site",1,1,0,,
316371,0,PHECODE,,229,Benign neoplasm of unspecified sites,1,1,0,,
316372,0,PHECODE,,230,Kaposi's sarcoma,0,1,0,,
316373,0,PHECODE,,240,Simple and unspecified goiter,0,1,0,,
316374,0,PHECODE,,241,Nontoxic nodular goiter,1,1,0,,
316375,0,PHECODE,,242,Thyrotoxicosis with or without goiter,1,1,0,,
316376,0,PHECODE,,242.3,Exophthalmos,1,1,0,,
316377,0,PHECODE,,244,Hypothyroidism,1,1,0,,
316378,0,PHECODE,,245,Thyroiditis,1,1,0,,
316379,0,PHECODE,,246,Other disorders of thyroid,1,1,0,,
316380,0,PHECODE,,246.7,Abnormal results of function study of thyroid,0,1,0,,
316381,0,PHECODE,,249,Secondary diabetes mellitus,0,1,0,,
316382,0,PHECODE,,250,Diabetes mellitus,1,1,0,,
316383,0,PHECODE,,250.4,Abnormal glucose,1,1,0,,
316384,0,PHECODE,,251,Other disorders of pancreatic internal secretion,1,1,0,,
316385,0,PHECODE,,251.1,Hypoglycemia,0,1,0,,
316386,0,PHECODE,,252,Disorders of parathyroid gland,1,1,0,,
316387,0,PHECODE,,253,Disorders of the pituitary gland and its hypothalamic control,1,1,0,,
316388,0,PHECODE,,254,Diseases of thymus gland,0,1,0,,
316389,0,PHECODE,,255,Disorders of adrenal glands,1,1,0,,
316390,0,PHECODE,,256,Ovarian dysfunction,1,1,0,,
316391,0,PHECODE,,257,Testicular dysfunction,1,1,0,,
316392,0,PHECODE,,258,Iatrogenic endocrine disorders,0,1,0,,
316393,0,PHECODE,,258.1,Postablative ovarian failure,0,1,0,,
316394,0,PHECODE,,259,Other endocrine disorders,1,1,0,,
316395,0,PHECODE,,259.2,Carcinoid syndrome,0,1,0,,
316396,0,PHECODE,,259.3,Delay in sexual development and puberty NEC,0,1,0,,
316397,0,PHECODE,,259.4,Precocious sexual development and puberty NEC,0,1,0,,
316398,0,PHECODE,,259.8,Polyglandular activity in multiple endocrine adenomatosis,0,1,0,,
316399,0,PHECODE,,260,Protein-calorie malnutrition,1,1,0,,
316400,0,PHECODE,,260.1,Cachexia,0,1,0,,
316401,0,PHECODE,,260.6,Anorexia,0,1,0,,
316402,0,PHECODE,,260.7,Polyphagia,0,1,0,,
316403,0,PHECODE,,261,Vitamin deficiency,1,1,0,,
316404,0,PHECODE,,262,Mineral deficiency NEC,0,1,0,,
316405,0,PHECODE,,263,Other nutritional deficiency,0,1,0,,
316406,0,PHECODE,,264,Lack of normal physiological development,1,1,0,,
316407,0,PHECODE,,269,Proteinuria,0,1,0,,
316408,0,PHECODE,,270,Disorders of protein plasma/amino-acid transport and metabolism,1,1,0,,
316409,0,PHECODE,,270.33,Amyloidosis,0,1,0,,
316410,0,PHECODE,,271,Disorders of carbohydrate transport and metabolism,1,1,0,,
316411,0,PHECODE,,272,Disorders of lipoid metabolism,1,1,0,,
316412,0,PHECODE,,274,Gout and other crystal arthropathies,1,1,0,,
316413,0,PHECODE,,275,Disorders of mineral metabolism,1,1,0,,
316414,0,PHECODE,,276,"Disorders of fluid, electrolyte, and acid-base balance",1,1,0,,
316415,0,PHECODE,,276.4,Acid-base balance disorder,1,1,0,,
316416,0,PHECODE,,276.8,Polydipsia,0,1,0,,
316417,0,PHECODE,,277,Other disorders of metabolism,1,1,0,,
316418,0,PHECODE,,277.4,Disorders of bilirubin excretion,0,1,0,,
316419,0,PHECODE,,277.5,Other disorders of lipoid metabolism,1,1,0,,
316420,0,PHECODE,,277.6,Other deficiencies of circulating enzymes,0,1,0,,
316421,0,PHECODE,,277.7,Dysmetabolic syndrome X,0,1,0,,
316422,0,PHECODE,,278,"Overweight, obesity and other hyperalimentation",1,1,0,,
316423,0,PHECODE,,279,Disorders involving the immune mechanism,1,1,0,,
