analysis_id,"stratum_1","stratum_2","stratum_3","stratum_4","stratum_5",count_value
1,"","","","","",15917
2,"8532","","","","",8898
2,"8507","","","","",7019
3,"1981","","","","",259
3,"1967","","","","",259
3,"1983","","","","",260
3,"1946","","","","",260
3,"1961","","","","",262
3,"1972","","","","",262
3,"1948","","","","",263
3,"1970","","","","",263
3,"1999","","","","",263
3,"1978","","","","",265
3,"1958","","","","",265
3,"1953","","","","",268
3,"1979","","","","",268
3,"1989","","","","",269
3,"1960","","","","",270
3,"1991","","","","",270
3,"1996","","","","",271
3,"1964","","","","",272
3,"1962","","","","",273
3,"1959","","","","",275
3,"1986","","","","",275
3,"1987","","","","",276
3,"1990","","","","",276
3,"1995","","","","",277
3,"1984","","","","",277
3,"1985","","","","",278
3,"1969","","","","",279
3,"1952","","","","",280
3,"1997","","","","",280
3,"1936","","","","",26
3,"1988","","","","",282
3,"1955","","","","",284
3,"1957","","","","",285
3,"1993","","","","",286
3,"1992","","","","",292
3,"1963","","","","",293
3,"1994","","","","",295
3,"1998","","","","",314
3,"1937","","","","",128
3,"1938","","","","",139
3,"1940","","","","",177
3,"1939","","","","",184
3,"1941","","","","",187
3,"1944","","","","",189
3,"1943","","","","",190
3,"1942","","","","",209
3,"1945","","","","",211
3,"1976","","","","",216
3,"1965","","","","",227
3,"1966","","","","",235
3,"1974","","","","",236
3,"1975","","","","",239
3,"1950","","","","",242
3,"1968","","","","",242
3,"1977","","","","",244
3,"1973","","","","",244
3,"1980","","","","",248
3,"1951","","","","",250
3,"1949","","","","",250
3,"1956","","","","",250
3,"1954","","","","",251
3,"1947","","","","",252
3,"1982","","","","",252
3,"1971","","","","",253
4,"601000","","","","",2223
4,"8657","","","","",27
4,"8527","","","","",11358
4,"1901001","","","","",104
4,"8515","","","","",246
4,"8516","","","","",1959
5,"38003564","","","","",13340
5,"1201000","","","","",2121
5,"38003563","","","","",456
3000,"9202","","","","",7513
3000,"78516","","","","",256
3000,"261880","","","","",1024
3000,"433163","","","","",258
3000,"321318","","","","",260
3000,"377910","","","","",260
3000,"4215685","","","","",516
3000,"4147961","","","","",261
3000,"443530","","","","",261
3000,"434005","","","","",517
3000,"201613","","","","",262
3000,"78517","","","","",263
3000,"31317","","","","",520
3000,"437643","","","","",266
3000,"79908","","","","",268
3000,"443865","","","","",268
3000,"440029","","","","",268
3000,"81151","","","","",271
3000,"194083","","","","",272
3000,"200174","","","","",273
3000,"197988","","","","",274
3000,"4223659","","","","",274
3000,"134736","","","","",786
3000,"140821","","","","",275
3000,"138825","","","","",275
3000,"435517","","","","",275
3000,"444382","","","","",276
3000,"197607","","","","",276
3000,"314754","","","","",276
3000,"316822","","","","",276
3000,"4201717","","","","",22
3000,"435119","","","","",22
3000,"4282316","","","","",22
3000,"252784","","","","",22
3000,"436238","","","","",22
3000,"30361","","","","",22
3000,"4088016","","","","",22
3000,"4028373","","","","",22
3000,"4091466","","","","",22
3000,"373202","","","","",22
3000,"200680","","","","",22
3000,"442012","","","","",22
3000,"76545","","","","",22
3000,"434875","","","","",22
3000,"442268","","","","",22
3000,"317510","","","","",22
3000,"4111409","","","","",22
3000,"381732","","","","",22
3000,"4245252","","","","",22
3000,"441092","","","","",22
3000,"442173","","","","",22
3000,"4090353","","","","",22
3000,"436235","","","","",22
3000,"255677","","","","",22
3000,"4200655","","","","",22
3000,"135893","","","","",22
3000,"4248728","","","","",22
3000,"439696","","","","",22
3000,"373748","","","","",22
3000,"137951","","","","",22
3000,"373775","","","","",22
3000,"433813","","","","",22
3000,"436033","","","","",22
3000,"437899","","","","",22
3000,"201907","","","","",22
3000,"197331","","","","",22
3000,"4115169","","","","",22
3000,"44833466","","","","",22
3000,"27918","","","","",22
3000,"378741","","","","",22
3000,"196152","","","","",22
3000,"74606","","","","",22
3000,"31057","","","","",22
3000,"441364","","","","",22
3000,"78235","","","","",22
3000,"40481042","","","","",22
3000,"4263255","","","","",22
3000,"141090","","","","",22
3000,"80004","","","","",278
3000,"76153","","","","",23
3000,"432941","","","","",23
3000,"4120621","","","","",23
3000,"75634","","","","",23
3000,"4168700","","","","",23
3000,"443247","","","","",23
3000,"435950","","","","",23
3000,"4168213","","","","",23
3000,"441202","","","","",23
3000,"443917","","","","",23
3000,"197304","","","","",23
3000,"441482","","","","",23
3000,"25189","","","","",23
3000,"141056","","","","",23
3000,"134603","","","","",23
3000,"378419","","","","",23
3000,"375393","","","","",23
3000,"46272734","","","","",23
3000,"376387","","","","",23
3000,"4272240","","","","",23
3000,"438527","","","","",23
3000,"193144","","","","",23
3000,"137989","","","","",23
3000,"133857","","","","",23
3000,"196436","","","","",23
3000,"4117364","","","","",23
3000,"435100","","","","",23
3000,"4157333","","","","",23
3000,"380097","","","","",23
3000,"4261842","","","","",23
3000,"4163280","","","","",23
3000,"4280354","","","","",23
3000,"372914","","","","",23
3000,"80593","","","","",23
3000,"378743","","","","",23
3000,"4172970","","","","",23
3000,"432295","","","","",23
3000,"379769","","","","",23
3000,"72266","","","","",23
3000,"40479649","","","","",23
3000,"443788","","","","",23
3000,"140266","","","","",23
3000,"440785","","","","",23
3000,"4152384","","","","",23
3000,"136495","","","","",23
3000,"435655","","","","",23
3000,"135214","","","","",23
3000,"435534","","","","",23
3000,"380859","","","","",24
3000,"43531578","","","","",24
3000,"4070299","","","","",24
3000,"193807","","","","",24
3000,"201069","","","","",24
3000,"4232076","","","","",24
3000,"137735","","","","",24
3000,"440382","","","","",24
3000,"435785","","","","",24
3000,"73843","","","","",24
3000,"140803","","","","",24
3000,"438422","","","","",24
3000,"441788","","","","",24
3000,"138790","","","","",24
3000,"443801","","","","",24
3000,"134870","","","","",24
3000,"74399","","","","",24
3000,"78243","","","","",24
3000,"199754","","","","",24
3000,"4317258","","","","",24
3000,"133294","","","","",24
3000,"199881","","","","",24
3000,"443932","","","","",24
3000,"433450","","","","",24
3000,"4153877","","","","",24
3000,"437082","","","","",24
3000,"380669","","","","",24
3000,"72469","","","","",24
3000,"30163","","","","",24
3000,"4150154","","","","",24
3000,"4272162","","","","",24
3000,"77673","","","","",24
3000,"443923","","","","",24
3000,"138933","","","","",24
3000,"253321","","","","",24
3000,"4204187","","","","",24
3000,"137900","","","","",24
3000,"200051","","","","",24
3000,"133551","","","","",24
3000,"437688","","","","",24
3000,"442555","","","","",280
3000,"4088110","","","","",25
3000,"372925","","","","",25
3000,"259043","","","","",25
3000,"200765","","","","",25
3000,"377845","","","","",25
3000,"77146","","","","",25
3000,"380038","","","","",25
3000,"76194","","","","",25
3000,"4177176","","","","",25
3000,"374888","","","","",25
3000,"4163710","","","","",25
3000,"444200","","","","",25
3000,"44782690","","","","",25
3000,"4209224","","","","",25
3000,"443564","","","","",25
3000,"4027663","","","","",25
3000,"4021498","","","","",25
3000,"438882","","","","",25
3000,"196268","","","","",25
3000,"199192","","","","",25
3000,"437954","","","","",25
3000,"4344500","","","","",25
3000,"79116","","","","",25
3000,"137005","","","","",25
3000,"432789","","","","",25
3000,"44782813","","","","",25
3000,"318448","","","","",25
3000,"439206","","","","",25
3000,"4239938","","","","",25
3000,"443111","","","","",25
3000,"136354","","","","",25
3000,"196813","","","","",25
3000,"40489908","","","","",25
3000,"261116","","","","",25
3000,"434701","","","","",25
3000,"80852","","","","",25
3000,"78219","","","","",25
3000,"4200326","","","","",25
3000,"80552","","","","",25
3000,"43531003","","","","",25
3000,"444125","","","","",25
3000,"40485490","","","","",25
3000,"198528","","","","",25
3000,"435849","","","","",25
3000,"28179","","","","",25
3000,"193522","","","","",25
3000,"435604","","","","",25
3000,"440370","","","","",25
3000,"4094876","","","","",25
3000,"372604","","","","",25
3000,"4049367","","","","",25
3000,"259848","","","","",281
3000,"254061","","","","",537
3000,"375415","","","","",537
3000,"4084229","","","","",26
3000,"4121649","","","","",26
3000,"261600","","","","",26
3000,"4268911","","","","",26
3000,"433071","","","","",26
3000,"198558","","","","",26
3000,"201894","","","","",26
3000,"4005823","","","","",26
3000,"134305","","","","",26
3000,"379832","","","","",26
3000,"436936","","","","",26
3000,"435374","","","","",26
3000,"374024","","","","",26
3000,"4092879","","","","",26
3000,"134074","","","","",26
3000,"44784631","","","","",26
3000,"381290","","","","",26
3000,"75668","","","","",26
3000,"434626","","","","",26
3000,"4189343","","","","",26
3000,"4035611","","","","",26
3000,"376115","","","","",26
3000,"373747","","","","",26
3000,"139906","","","","",26
3000,"443432","","","","",26
3000,"433000","","","","",26
3000,"440366","","","","",26
3000,"375281","","","","",26
3000,"438297","","","","",26
3000,"437402","","","","",26
3000,"196157","","","","",26
3000,"440751","","","","",26
3000,"40482301","","","","",26
3000,"135473","","","","",26
3000,"4157447","","","","",26
3000,"133055","","","","",26
3000,"4112670","","","","",26
3000,"192956","","","","",26
3000,"4147691","","","","",26
3000,"315505","","","","",26
3000,"134681","","","","",26
3000,"433495","","","","",26
3000,"133295","","","","",26
3000,"198683","","","","",26
3000,"433329","","","","",26
3000,"193998","","","","",26
3000,"40493038","","","","",26
3000,"45768812","","","","",26
3000,"133714","","","","",26
3000,"374801","","","","",26
3000,"252758","","","","",26
3000,"374025","","","","",26
3000,"439776","","","","",26
3000,"442585","","","","",26
3000,"441264","","","","",26
3000,"434376","","","","",26
3000,"133794","","","","",26
3000,"313792","","","","",26
3000,"261881","","","","",282
3000,"46272450","","","","",538
3000,"4306780","","","","",538
3000,"377844","","","","",27
3000,"255919","","","","",27
3000,"4201390","","","","",27
3000,"4024018","","","","",27
3000,"4270024","","","","",27
3000,"441547","","","","",27
3000,"379801","","","","",27
